Source	Target	Weight	to_first	time_diff	seq_diff	timestamp	tid
2	160	0.96865	False	7651	1	1349551	239
2	160	0.5	True	13175	5	1277139	165
2	160	0.96469	False	8637	2	1277139	165
2	160	0.94674	False	13175	5	1277139	165
2	171	0.96603	False	8303	6	1868273	644
2	171	0.96127	False	9495	10	1868273	644
2	171	0.99699	False	721	1	1183693	68
2	174	0.5	True	141787	3	1805020	496
2	174	0.5	True	25247	1	1688480	496
2	174	0.9009	False	25247	1	1688480	496
2	178	0.5	True	482	1	2150928	874
2	178	0.99799	False	482	1	2150928	874
2	178	0.5	True	25384	8	1307625	188
2	178	0.5	True	7800	6	1290041	188
2	178	0.5	True	3204	4	1285445	188
2	178	0.9883	False	2821	2	1285445	188
2	178	0.5	True	108	1	1282349	188
2	178	0.99955	False	108	1	1282349	188
2	178	0.5	True	436	1	1184281	74
2	178	0.99818	False	436	1	1184281	74
2	182	0.26189	False	421989	7	2640911	827
2	184	0.99427	False	1377	1	2379698	1053
2	185	0.5	True	11662	1	2131046	845
2	185	0.95268	False	11662	1	2131046	845
2	185	0.5	True	273	1	1881926	664
2	185	0.99886	False	273	1	1881926	664
2	185	0.5	True	709	1	1881875	663
2	185	0.99704	False	709	1	1881875	663
2	185	0.5	True	3753	1	1546048	403
2	185	0.98447	False	3753	1	1546048	403
2	185	0.5	True	265951	21	1523239	160
2	185	0.94475	False	13685	1	1523239	160
2	185	0.9436	False	13978	2	1523239	160
2	185	0.94828	False	12781	9	1522442	359
2	185	0.5	True	198575	12	1455863	160
2	185	0.98898	False	2655	2	1455863	160
2	185	0.98592	False	3400	3	1455863	160
2	185	0.5	True	174177	6	1431465	160
2	185	0.99351	False	1559	1	1431465	160
2	185	0.55583	False	151173	3	1431465	160
2	185	0.5	True	810	1	1258098	160
2	185	0.99662	False	810	1	1258098	160
2	185	0.9986	False	336	1	1202810	79
2	187	0.95952	False	9934	3	1522442	359
2	187	0.95513	False	11042	5	1522442	359
2	187	0.94941	False	12492	7	1522442	359
2	187	0.5	True	4099	4	1192003	81
2	187	0.5	True	1548	3	1189452	81
2	187	0.99888	False	268	1	1189452	81
2	187	0.5	True	897	1	1188801	81
2	187	0.99626	False	897	1	1188801	81
2	189	0.26242	False	420955	6	2640911	827
2	189	0.99869	False	313	2	1634406	455
2	192	0.5	True	2188	4	1192378	86
